,LIBELLE
1269,Stade-de-France-St-Denis
1270,Montluçon-Eau
1271,Clamecy
1272,Dannes-Camiers
1273,La Forest
1274,La Celle-St-Cloud
1275,Malesherbes
1276,Épône-Mézières
1277,Bédarieux
1278,Bailleul-Sir-Berthoult
1279,Lezennes
1280,Valenciennes
1281,Cuers-Pierrefeu
1282,Habsheim
1283,Cahors
1284,St-Maur-sur-Indre
1285,St-Senoux-Pléchâtel
1286,Lisieux
1287,St-Florentin-Vergigny
1288,Tulle
1289,Fontaines-Mercurey
1290,Goussainville
1291,Lardy
1292,Montlaur
1293,St-Raphaël-Valescure
1294,Breteuil-Embranchement
1295,Les Fontinettes
1296,St-Pourçain-sur-Sioule
1297,Le Valdahon
1298,Lancey
1299,Valleiry
1300,Belleville
1301,Calais-Fréthun
1302,Liverdun
1303,Alençon
1304,Beuzeville (Eure)
1305,Le Thor
1306,Kruth
1307,Namps-Quevauvillers
1308,Niversac
1309,Larche
1310,Dugny-La Courneuve TT
1311,Maromme
1312,Souppes-Château-Landon
1313,Mennecy
1314,Veynes-Dévoluy
1315,Cérons
1316,St-Léonard
1317,Sézanne
1318,Estressin
1319,Uchaud
1320,Montbartier
1321,Thonon-les-Bains
1322,Le Molay-Littry
1323,Pont-de-Lignon
1324,Rountzenheim
1325,Muizon
1326,Baillargues
1327,Neuvic
1328,St-Dizier
1329,St-Germain-en-Laye-Bel-Air-Fourqueux
1330,Douzillac
1331,Rouen-Orléans
1332,Watten-Éperlecques
1333,Morre
1334,Montrichard
1335,Villeneuve-la-Guyard
1336,St-Germain-en-Laye-Grande-Ceinture
1337,Saulieu
1338,Meaux
1339,Bretenoux-Biars
1340,Bueil
1341,Montfavet
1342,Chagny
1343,Masseret
1344,Les Quatre-Routes
1345,St-Quentin-en-Yvelines
1346,Vougeot-Gilly-lès-Cîteaux
1347,Suèvres
1348,Don-Sainghin
1349,Les Ramassiers
1350,Rolampont
1351,Estrées-St-Denis
1352,Langogne
1353,Aigrefeuille-Le Thou
1354,Beuvry (Pas-de-Calais)
1355,St-Méen
1356,Thuès-les-Bains
1357,Bourth
1358,Lentilly
1359,Clacy-Mons
1360,Pauillac
1361,Ancy-sur-Moselle
1362,Anzeling
1363,Noyon
1364,Grenoble-Université-Gières
1365,Ste-Colombe-sur-Seine
1366,Damiatte-St-Paul
1367,Esvres
1368,Belfort
1369,Aigues-Vives
1370,Groslay
1371,Freinville-Sevran
1372,St-Sulpice-Izon
1373,Gallargues
1374,Montlouis
1375,Milhaud
1376,Novéant
1377,Aillevillers
1378,Quincieux
1380,Chécy-Mardié
1381,Sévérac-le-Château
1382,Corcieux-Vanémont
1383,Laigneville
1384,Stains-Cerisaie TT
1385,Torfou
1386,Lescar
1387,Avrigny
1388,Rémy
1389,Le Merlerault
1390,Beaulieu-Le Coudray
1391,Biffontaine
1392,St-Piat
1393,Savonnières
1394,Brest
1396,Mouy-Bury
1397,Huningue
1398,Montgeroult-Courcelles
1399,Gannes
1400,Châtellerault
1401,Gandrange-Amnéville
1402,Plouharnel-Carnac
1403,Baraqueville-Carcenac-Peyralès
1404,Èze
1405,Courbevoie
1406,Carry-le-Rouet
1407,St-Ay
1408,Epernay
1409,Longwy
1410,Hermes-Berthecourt
1411,Gevrey-Chambertin
1412,La Fontaine
1413,Verneuil-l'Étang
1414,Issou-Porcheville
1415,Bretigny-Norges
1416,Rethondes
1417,Étrépagny
1418,Pleudihen
1419,Cormeilles-en-Parisis
1420,Bourganeuf
1421,Le Légué
1422,Boran-sur-Oise
1423,Landévant
1424,La Chartre-sur-le-Loir
1425,Fos-Viguerat
1426,St-Avold
1427,Thuès
1428,Dienville
1429,Jeumont
1430,Maroeuil
1431,Moulin-Neuf (Oise)
1432,Tarascon
1433,Villeneuve-la-Comtesse
1434,Bernay
1435,Cornil
1436,Bigny
1437,Pontorson-Mont-St-Michel
1438,Buzy-en-Béarn
1439,La Gorp
1440,Metz
1442,Mesvres
1443,Sierentz
1444,Sausset-les-Pins
1445,Colomiers-Lycée-International
1446,Rixheim
1447,Saulxures
1448,Autun
1449,La Wantzenau
1450,Invalides
1452,Munster
1453,Fontenay-le-Comte
1454,Combs-la-Ville-Quincy
1455,Château-Thierry
1456,Fos-sur-Mer
1457,Mailly-la-Ville
1458,Wilwisheim
1459,Franxault
1460,Mazières-Verruyes
1461,Chaville-Rive-Gauche
1462,Lunéville
1463,St-André-de-Corcy
1464,Siorac-en-Périgord
1465,Cugand
1466,Tergnier
1467,Vauboyen
1468,Agonac
1469,Chaumont
1470,Varennes-sur-Allier
1471,Les Essarts-le-Roi
1472,Bertrichamps
1473,Rodez
1475,Valleroy-Moineville
1476,Rives
1477,Paulhaguet
1478,Laval
1479,Autet
1480,Elbeuf-St-Aubin
1481,Port-Ste-Marie
1482,Neuvy-Pailloux
1483,St-Sulpice
1484,Cerbère
1485,Les Vallées
1486,Marbache
1487,Lannemezan
1488,Loos-en-Gohelle
1489,Broons
1490,Le Bras-de-fer
1491,Le Valdahon Camp Militaire
1492,St-Louis-la-Chaussée
1493,Saintes
1494,Conflans-Jarny
1495,Toulouse
1496,Pougues-les-Eaux
1497,La Ferté-Hauterive
1498,Villers-Cotterêts
1499,Joué-lès-Tours
1500,Essonnes-Robinson
1501,Blangy-sur-Bresle
1502,Prunay
1503,Digoin
1504,Sèvres-Rive-Gauche
1505,Cintegabelle
1506,Les Cabrils
1507,Colroy-Lubine
1508,Verberie
1509,Albias
1510,Janville
1511,Ste-Lizaigne
1512,Aulnat-Aéroport
1513,La Roche-en-Brenil
1514,Massiac
1515,Barentin-Embranchement
1516,Chantenay-St-Imbert
1517,Veuves-Monteaux
1518,Hirson
1519,Villeneuve-sur-Allier
1520,La Chapelle-Centre
1521,Comines
1522,Sucy-Bonneuil
1523,Épinay-sur-Orge
1524,Figeac
1525,Loures-Barbazan
1526,Tacoignières-Richebourg
1527,St-Martin-de-Crau
1528,St-Pierre-du-Vauvray
1529,Farschviller
1530,St-Maixent-l'Ecole
1531,Cambo-les-Bains
1532,Poitiers
1533,Varades-St-Florent-le-Vieil
1534,Verrey
1535,Bidarray-Pont-Noblia
1537,Les Laumes-Alésia
1538,Farbus
1539,Bretteville-Norrey
1540,La Chaussée-St-Victor
1541,Mommenheim
1542,Creutzwald
1543,Hayange
1544,Gap
1545,Isbergues
1546,Einvaux
1547,Épehy
1548,Labège-Village
1549,Bois-le-Roi
1550,Lézignan (Aude)
1551,Sorgues-Châteauneuf-du-Pape
1552,Amiens
1553,Ruminghem
1554,Versailles-Rive-Droite
1555,Port-Édouard-Herriot
1556,Châteaulin
1557,Mâcon-Ville
1558,Paris-La Villette-Hébert
1559,Ascq
1560,La Mothe-St-Héray
1561,Quillan
1562,Hyères
1563,Pontrieux-Halte
1564,La Rivière-de-Mansac
1565,Pierrefitte-Stains
1566,Pont-Petit
1567,Colombes
1568,St-Nazaire
1569,Lamothe-Landerron
1570,Sarreinsming
1571,Bourg-St-Maurice
1572,Roissy-Aéroport-Charles-de-Gaulle 1
1573,Issé
1574,Magalas
1575,Nemours-St-Pierre
1576,Chasse-sur-Rhône
1577,Moirans-la-Galifette
1578,Polliat
1579,Vayres
1580,Babinière
1581,Chars
1582,Delle
1583,Mulhouse-Dornach
1584,Châtillon-sur-Indre
1585,Corbeil-Essonnes
1586,Les Deux Jumeaux
1587,Rosny-sur-Seine
1588,Mundolsheim
1589,Albertville
1590,St-Brice-Courcelles
1591,St-Ouen-du-Breuil
1592,Moulins-sur-Allier
1593,Marsac
1594,St-Pierre-le-Moûtier
1595,Neau
1596,Thenon
1597,Marle-sur-Serre
1599,Mont-sur-Meurthe
1600,Besançon-Viotte
1601,Vittel
1602,Besançon-St-Fergeux
1603,Limoges-Montjovis
1604,Montigny-sur-Loing
1605,Houdemont
1606,Peyrilhac-St-Jouvent
1607,Haguenau
1608,Aubigny-sur-Nère
1609,Brétigny
1610,Chissay-en-Touraine
1611,Dirinon Loperhet
1612,St-Vit
1613,Grand-Quevilly
1614,Gudmont
1615,Morteau
1616,Clermont-La Pardieu
1617,Tamnay-Châtillon
1618,St-Amand-les-Eaux
1619,Hirson
1620,Pontanevaux
1621,Bonson
1622,Aix-en-Provence
1623,Valençay
1624,Foix
1625,Pompey
1626,La Guerche-sur-l'Aubois
1627,Vitré
1628,Septèmes
1629,Mézy
1630,St-Étienne-Châteaucreux
1631,Ceintrey
1632,Boulainvilliers
1633,Ur-les-Escaldes
1634,Bailleul
1635,Petit-Croix
1636,Mareuil-sur-Ourcq
1637,Beslé
1638,St-Louis-les-Aygalades
1639,St-Germain-du-Puy
1640,Sospel
1641,Mériel
1642,Aire-sur-l'Adour
1643,Brion-Laizy
1644,Margut-Fromy
1645,Barentin-Embranchement
1646,Surdon
1647,Langon
1648,Oberhoffen-Camp-de-Haguenau
1649,Réhon
1650,Gorges
1651,Lorient
1652,Gagny
1653,St-Pierre-d'Aurillac
1654,Plouvara-Plerneuf
1655,Dormans
1656,La Suze
1657,Laval-de-Cère
1658,Nîmes-Pont du Gard
1659,Desvres
1660,Reims
1661,Hesdin
1662,Chabris
1663,Étaples-Le Touquet
1664,Moirans
1665,Crissey
1667,La Brohinière
1668,Esbly
1669,Nevers
1670,Le Rouget
1671,Denain
1672,Nézel-Aulnay
1673,Chaville-Rive-Droite
1674,Molinges
1675,Champ-de-Mars-Tour-Eiffel
1676,Goxwiller
1677,Villennes-sur-Seine
1678,Franchet-d'Esperey
1679,Anizy-Pinon
1680,Florensac
1681,Audun-le-Roman
1682,Coutances
1683,Louroux-de-Bouble
1684,Lumes
1685,St-André-de-Cubzac
1686,Challans
1687,Mutzig
1688,Breil-sur-Roya
1689,Plouigneau
1690,Maurecourt
1691,La Frette-Montigny
1692,Aurec
1693,Plestan
1694,Capdenac
1695,Thiviers
1696,Velars
1697,Chalais
1698,Seyssel-Corbonod
1699,Ennevelin
1700,Caulnes
1701,Béard
1702,Dardilly-les-Mouilles
1703,Courcelles-sur-Nied
1704,Bayonne-Allées-Marines
1705,Bailleau-le-Pin
1706,Châtelaillon
1707,Épierre-St-Léger
1708,Chirac
1709,La Pauline-Hyères
1710,Feyzin
1712,Quiberon
1713,Gimont-Cahuzac
1714,L'Argentière-les-Écrins
1715,Longpré-les-Corps-Saints
1716,Morez
1717,Aix-en-Provence-TGV
1718,Mont-de-Marsan
1720,Chaumont-en-Vexin
1721,St-Louis
1723,St-Aubin-du-Vieil-Évreux
1724,St-Lô
1725,St-Sulpice-Laurière
1726,Gargenville
1727,Rang-du-Fliers-Verton
1728,Les Longevilles-Rochejean
1729,Saulon
1730,Heyrieux
1731,Rochy-Condé
1732,Longueau
1733,Choisy-le-Roi
1734,Ris-Orangis
1735,Vienne
1736,Bessancourt
1738,Elbeuf-Ville
1739,Trith-St-Léger
1740,St-Sauveur-Châteauneuf
1741,Mignaloux-Nouaillé
1742,Épône-Mézières
1743,Sevran-Livry
1744,Portes
1745,Mont-Notre-Dame
1746,La Chaux-des-Crotenay
1747,Tours
1748,Saumur
1749,Parthenay
1750,Martigues
1751,Cruas
1752,Entressen
1753,Salon
1754,St-Brieuc
1755,Rezé-Pont-Rousseau
1756,Neuville-sur-Saône
1757,Gujan-Mestras
1758,Mervans
1759,Les Bardys
1760,Rouessé-Vassé
1761,La Garenne-Colombes
1762,Ste-Maure-Noyant
1763,Portet-St-Simon
1764,Lalbenque-Fontanes
1765,Bellegarde
1766,Tillières
1767,Paris-St-Lazare
1768,Chantilly-Gouvieux
1769,Sceaux-Boësse
1770,Châtenois-Dolaincourt
1771,St-Agne
1772,Uzerche
1773,L'Abbaye
1774,Sotteville
1775,Castillon
1776,Port-St-Père-St-Mars
1777,Serquigny
1778,Balsièges-Bourg
1779,Cergy-Préfecture
1780,Neuville-Université
1781,Belz-Ploemel
1782,Conflans-Jarny
1783,Mirecourt
1784,Artenay
1785,Giromagny
1786,Is-sur-Tille
1787,Bayard
1788,Lomme (MIN)
1789,Distroff
1790,Douai
1791,Marseille-Blancarde
1792,Marseille-Blancarde
1793,Bénesse-Maremne
1794,Le Boulou-Perthus
1795,Beaune-la-Rolande
1796,La Grande-Paroisse
1797,Laguépie
1798,Baziège
1800,Rémelfing
1801,Bonnard-Bassou
1802,Le Pouliguen
1803,Lure
1804,Gray
1805,Chabanais
1806,Sarralbe
1807,Jardres
1808,Varangéville-St-Nicolas
1809,Montierchaume
1810,St-Julien-Clénay
1812,Paris-Austerlitz
1813,Homécourt
1814,Braine
1815,Écommoy
1816,Druye
1818,Castelsarrasin
1819,Cramoisy
1820,Sélestat
1821,Flamboin-Gouaix
1822,St-Sulpice
1823,Casino-Lacroix-Laval
1824,St-Amand-de-Vendôme
1825,Montreux-Vieux
1826,L'Étang-la-Ville
1827,Rully
1828,Clamart
1829,Les Yvris-Noisy-le-Grand
1830,Rodez
1831,Sanry-sur-Nied
1832,Blodelsheim
1833,Munster-Badischhof
1834,Le Bourget
1835,La Hume
1836,Méry (Val-d'Oise)
1837,Montélimar
1838,Huriel
1839,St-Mathurin
1840,Épanvilliers
1841,Vignols-St-Solve
1842,La Rivière
1843,Verdun
1844,Marseille-St-Charles
1845,Laillé
1846,Vrigne-Meuse
1847,Valmy
1848,Thézy-Glimont
1849,Alet-les-Bains
1850,Hoffen
1851,Lacapelle-Viescamp
1852,Pont-du-Casse
1853,La Rochelle-Ville
1854,Ingrandes-sur-Vienne
1855,Les Cabannes
1856,Château-Gontier
1857,Bohain
1858,Touët-de-l'Escarène
1859,Vieux-Thann ZI
1860,Chaponost
1861,St-Rambert-en-Bugey
1862,Varetz
1863,La Verrière
1864,Paris-Nord
1865,Banyuls-sur-Mer
1866,Nexon
1867,Pont-à-Vendin
1868,Jarrie-Vizille
1869,Bidos
1870,Paray-le-Monial
1871,Lamothe-Montravel
1872,Tonnay-Charente
1873,Dole
1874,Bertry
1875,Vieilleville
1876,Saleux
1877,Pleyber-Christ
1878,Rombas-Clouange
1879,Carhaix
1880,St-Leu-d'Esserent
1881,Ugine
1882,Bantzenheim
1883,Bourgtheroulde-Thuit-Hébert
1884,Crépy-Couvron
1885,Menton-Garavan
1886,Attichy
1887,Meurchin
1888,Couiza-Montazels
1889,Mâcon-Loché-TGV
1890,Laon
1891,La Croix-de-Méan
1892,Fère-en-Tardenois
1893,Bourg-en-Bresse
1894,Les Martres-de-Veyre
1895,Cousance
1896,Retournac
1897,Lapeyrouse
1898,Deuil-Montmagny
1899,Igney
1900,Glos-Montfort
1901,Bruyères
1902,Vitrolles-Aéroport-Marseille-Provence
1903,St-Mesmin
1904,Tours
1905,Gondrecourt-le-Château
1906,Labruguière
1907,Pamproux
1908,La Bonneville-sur-Iton
1909,Les Coquetiers
1910,Le Havre
1911,Le Cellier
1912,Cavignac
1913,Dorlisheim
1914,Ballan
1915,Athis-Mons
1916,Viry-Châtillon
1917,Merxheim
1918,Ermont-Halte
1919,La Possonnière
1920,Ste-Anne
1921,Laroche-Migennes
1922,Bobigny
1923,Auxonne
1924,Sommery
1925,Landébia
1926,Pontcharra-St-Forgeux
1927,Port-Fluvial-de-Chalon-sur-Saône
1928,Ponthierry-Pringy
1929,Dommartin-Lissieu
1930,Raon-l'Étape
1931,Libourne
1932,Val-de-Fontenay
1933,Coudray-Montceaux
1934,Laveline-devant-Bruyères
1935,Crécy-La Chapelle
1936,Sorgues-Châteauneuf-du-Pape
1937,Le Grand-Jardin
1938,Wissous
1939,Lutterbach-Tram-Train
1940,Port-d'Atelier-Amance
1941,St-Varent
1942,Rambouillet
1943,Lusignan
1944,Yffiniac
1945,Marlieux-Châtillon
1946,Cubzac-les-Ponts
1947,Sillé-le-Guillaume
1948,Malling
1949,Roye (Somme)
1950,Génolhac
1951,Ebblinghem
1952,Artix
1953,L'Hôpital-du-Grosbois
1954,Grisolles
1955,Mulhouse-Musées (Tram/Train)
1956,Mignères-Gondréville
1957,St-Cyr
1958,Bagnac
1959,La Barasse
1960,Plaisir-Les Clayes
1961,St-Astier
1962,Narbonne
1963,St-Nabord
1964,Bressuire
1965,St-Florentin-Vergigny
1966,Basse-Ham
1967,Mulhouse-Ville
1968,Oloron-Ste-Marie
1969,Sarliève-Cournon
1970,Bassens
1971,St-Thégonnec
1972,St-Geours
1973,Nieul
1974,Graffenstaden
1975,Hettange-Grande
1976,Chantenay
1977,St-Denis-Jargeau
1978,Crépy-en-Valois
1979,Lorcy
1980,Freistroff
1981,St-Pierre-Quiberon
1982,Margival
1983,Boigneville
1984,Montréjeau-Gourdan-Polignan
1985,Guillerval
1986,Brumath
1988,St-Chamas
1989,Villeneuve-lès-Maguelone
1990,Wallers
1991,Thann-St-Jacques
1992,Gisors
1993,Petit-Vaux
1994,St-Étienne-Pont-de-l'Âne
1995,Montreuil-sur-Thérain
1996,Auxy-Juranville
1997,Angers-St-Laud
1998,Sauto
1999,Villepinte
2000,Cesson
2001,Bénestroff
2002,Frontignan
2003,Clermont-de-l'Oise
2004,St-Victor
2005,Terrasson
2006,Rochy-Condé
2007,Uzel
2008,Aiffres
2009,Boves
2010,Boves
2011,Génelard
2012,Lavaur
2013,Sartrouville
2014,Niort
2015,Genlis
2016,St-Hilaire-au-Temple
2017,Laignes
2018,Thionville
2019,Évreux-Embranchement
2020,Gragnague
2021,Le Verdon
2022,St-Amand-Montrond-Orval
2023,Mont-Dore
2024,Nieppe
2025,Monestier-de-Clermont
2026,Viry
2027,Hagetmau
2028,Wardrecques
2029,Hennebont
2030,Maresquel
2031,Peille
2032,Firminy
2033,Tricot
2034,Tagolsheim
2035,Arques-la-Bataille
2036,St-Aignan-Noyers
2037,Bourron-Marlotte-Grez
2038,Woippy
2039,Condom
2040,La Basse-Indre-St-Herblain
2041,Les Noues
2042,Simandre-sur-Suran
2043,Le Péage-de-Roussillon
2044,St-Remy-en-l'Eau
2045,Condé-sur-Huisne
2046,Facture-Biganos
2047,Siorac-en-Périgord
2048,La Fère
2049,Bar-le-Duc
2050,Tende
2051,Frasne
2052,Heilles-Mouchy
2053,Les Fontinettes
2054,Moirans
2055,Bourg-en-Bresse
2056,Port-de-Bouc
2057,St-Hilaire-de-Chaléons
2058,Epiry-Montreuillon
2059,St-Jacques-de-la-Lande
2060,Givors-Canal
2061,Épinay-sur-Seine
2062,Grenoble-Université-Gières
2063,Les Églisottes
2064,Vaucresson
2065,Granville
2066,Luzy
2067,Vaux-sur-Seine
2069,Turenne
2070,Cordemais
2071,Grande-Synthe
2072,St-Amand-les-Eaux
2073,Arcachon
2074,Figeac
2075,Dreuil-lès-Amiens
2076,Revin
2077,Trouville-Deauville
2078,Béthune-Rivage
2079,Ste-Pazanne
2080,Nîmes
2081,Montsûrs
2082,Donchery
2083,Ranchot
2084,Nérondes
2085,Peyrehorade
2086,Dammartin-Juilly-St-Mard
2087,Vauxaillon
2088,Noyen
2089,Pont-de-Buis Lès Quimerc'h
2090,Sathonay-Rillieux
2091,Myennes
2092,Neuves-Maisons
2093,Santenay-les-Bains
2094,Royat-Chamalières
2095,Tavaux-Solvay
2096,Mormant
2097,Lalinde
2098,Porte-de-Clichy
2099,Vignory
2100,Capvern
2101,Espéraza
2102,Lezoux
2103,La Bâthie
2104,Bergerac
2105,Ferrière-la-Grande
2106,La Bastide-St-Laurent-les-Bains
2107,Bruyères-sur-Oise
2108,Seurre
2109,Bois-Colombes
2110,St-Jean-de-Losne
2111,Vulaines-sur-Seine-Samoreau
2112,Chemin-d'Antony
2113,Arras
2114,Boisleux
2115,Liesle
2116,Willer-sur-Thur
2117,Saumur
2118,Beaune
2119,Sennecey-le-Grand
2120,Sète
2121,Labège-Village
2122,Le Stade
2123,Bédarieux
2124,Morbier
2125,Auch
2126,Le Bousquet-d'Orb
2127,Bacouël
2128,Nangis
2129,Onville
2130,Bengy
2131,Lure
2132,Val-de-Reuil
2133,Vions-Chanaz
2134,Versigny
2135,Neuilly-lès-Dijon
2136,La Chapelle-Aulnay
2137,Dannemarie-Velesmes
2138,Tassin
2139,Drulingen
2140,Moulins-sur-Allier
2141,Durtol-Nohanent
2142,Cernay
2143,Vire
2144,Bantzenheim
2145,Carbonne
2146,Attigny (Ardennes)
2147,Île-Napoléon-Garage
2148,Audruicq
2149,Reims-Maison-Blanche
2150,La Veuve
2151,Pierre-Bénite
2152,Champagne-sur-Oise
2153,Liévin
2154,Dambach-la-Ville
2155,St-Rambert-d'Albon
2156,Ancenis
2157,Bondy
2158,Nanteuil-Saâcy
2159,Frontenex
2160,Époisses
2161,Ambérieu
2162,St-Gratien
2163,St-Dalmas-de-Tende
2164,Courcelles-le-Comte
2165,Lunas
2166,St-Paul-de-Fenouillet
2167,Mont-de-Terre
2168,Lagnieu
2169,Chalonnes
2170,Abancourt
2171,Planès
2172,Surdon
2173,Chocques
2174,Arengosse
2175,Mantes-la-Jolie
2176,Montreuil-sur-Ille
2177,Aunay-Tréon
2178,La Ciotat
2179,Breteil
2180,Jouy-en-Josas
2181,Frouard
2182,Malansac
2183,Valence-d'Agen
2184,Aigues-Mortes
2185,Monnaie
2186,Barbentane-Rognonas
2187,Meroux
2188,Caffiers
2189,Aiguebelette-le-Lac
2190,Houdan
2191,Sablé-sur-Sarthe
2192,Roscoff
2193,Rognac
2194,Gravelines
2195,Montreuil
2196,Champagne-sur-Seine
2197,Millas
2198,Bergues
2199,Guingamp
2200,Billy-Montigny
2201,Macau
2202,Bussière-Galant
2203,Longjumeau
2204,Villers-St-Sépulcre
2205,Gommiers
2206,Breteuil-Ville
2207,Gaillac
2208,Lubersac
2209,Laragne
2210,Saintes
2211,Tonneins
2212,Bétaille
2213,Jeandelize
2214,Pamiers
2215,Sannois
2216,Le Blanc-Mesnil
2217,La Ferté-sous-Jouarre
2218,St-Paterne
2219,Beuvrages
2220,Clichy-Levallois
2221,La Brillanne-Oraison
2222,Hymont-Mattaincourt
2223,Mennetou-sur-Cher
2224,Marignier
2225,Cattenières
2226,Foucart-Alvimare
2227,Morcenx
2228,Grand-Bourg
2229,Montdidier
2230,St-Cyr-en-Val-La Source
2231,Darsac
2232,Maisons-Alfort-Alfortville
2233,Voiron
2234,Clères
2235,Chabenet
2236,St-Chély-d'Apcher
2237,Bourgneuf-en-Retz
2238,Decize
2239,Cherbourg
2240,La Guierche
2241,Pouilly-sur-Loire
2242,Houilles-Carrières-sur-Seine
2243,Thédirac-Peyrilles
2244,Chalandray
2245,Aumont-Aubrac
2246,La Marche
2247,Bitche-Camp
2248,Saincaize
2249,Perrignier
2250,Puy-Guillaume
2252,Strasbourg-Ville
2253,Commentry
2254,Virieu-le-Grand-Belley
2255,Nogent-sur-Seine
2256,Massérac
2257,Sathonay-Rillieux
2258,Chanac
2259,Boulogne-Tintelleries
2260,Pierre-Buffière
2261,Caen
2262,Ballancourt
2263,St-Genouph
2264,Pierrelaye
2265,Neussargues
2266,Arques (Pas-de-Calais)
2267,Longroy-Gamaches
2268,Meudon
2269,Massy Europe
2270,Villers-St-Paul
2271,Blagny
2272,Coat-Guégan
2273,Ermont-Eaubonne
2274,Vernou-sur-Seine
2275,Argentan
2276,Feurs
2277,Clisson
2278,Le Val-d'Or
2279,Sarre-Union
2280,Pérols
2281,Beaucaire
2282,Raismes
2283,Urmatt
2284,Sully-sur-Loire
2285,Presles-Courcelles
2286,Crouy-sur-Ourcq
2287,Mézy
2288,Plancoët
2289,Retiers
2290,Meymac
2291,Kilstett
2292,Maurs
2293,Vanves-Malakoff
2294,Remoulins-Pont-du-Gard
2295,Franois
2297,Guimiliau
2298,Eu
2299,Dettwiller
2300,La Courneuve-Dugny
2301,Hasenrain
2302,Briançon
2303,Nyers
2304,Ste-Foy-la-Grande
2305,Coignières
2306,Bricon
2307,Grandpuits
2308,Contrexéville
2309,Haubourdin
2310,St-Fons
2311,Château-Arnoux-St-Auban
2312,Trentels-Ladignac
2313,St-Cergues-les-Voirons
2314,Uckange
2315,Semur-en-Auxois
2316,Besançon-Mouillère
2317,Mullerhof
2318,Baisieux
2319,Pontmort
2320,Villiers-le-Bel-Gonesse-Arnouville
2321,Champagne-Ardenne-TGV
2322,Mantes-Station
2323,St-Martin-d'Étampes
2324,Cusset
2325,Bécon-les-Bruyères
2326,Moosch
2327,Jarville-la-Malgrange
2328,Les Bossons
2329,Geispolsheim
2330,Vertou
2331,Abbeville
2332,Brax-Léguevin
2333,Coulommiers
2335,Montfort-le-Gesnois
2336,Miraumont
2337,Coussey
2338,Magenta
2339,Auffay
2340,Cros-de-Cagnes
2341,Montchanin
2342,Luçay-le-Mâle
2343,Bandol
2344,Chamousset
2345,Selommes
2346,Garnay
2347,Barenton-Bugny
2348,Joinville
2349,Mareil-Marly
2350,Conches
2351,Noyal-Acigné
2352,Kuntzig
2353,Miniac
2354,Amboise
2355,Dreux
2356,Lamonzie-St-Martin
2357,Bagneaux-sur-Loing
2358,Ouges
2359,Corgoloin
2360,Sury-le-Comtal
2361,Gretz-Armainvilliers
2362,Sillery
2363,St-Nom-la-Bretêche-Forêt-de-Marly
2364,Ham-en-Artois
2365,Maulde-Mortagne
2366,Cazères-sur-Garonne
2367,Paris-Bercy
2368,St-Saturnin-d'Avignon
2369,Eurville-Bienville
2370,Vonnas
2371,St-Flour-Chaudes-Aigues
2372,La Bachellerie
2373,Asnières-lès-Bourges
2374,St-Laurent-Gainneville
2375,Mirecourt
2376,La Redonne-Ensuès
2377,Picquigny
2378,Les Quatre-Roues
2379,Campagnac-St-Geniez
2380,Dercy-Mortiers
2381,Vandières
2382,St-Pierre-d'Albigny
2383,Collonges-Fontaines
2384,Chaville-Vélizy
2385,Fougerolles
2386,Haubourdin
2387,Serres
2388,Prin-Deyrançon
2389,Chenevières
2390,Pont-Cardinet
2391,Pont-Ste-Maxence
2392,Aubrives
2393,Beauvoir-sur-Niort
2394,Chamonix-Mont-Blanc
2395,Les Abrets-Fitilieu
2396,Wacquemoulin
2397,Magnac-Vicq
2398,Pontivy
2399,Argentan
2400,St-Féliu-d'Avall
2401,Gironcourt-Houécourt
2402,Les Cauquillous
2403,Lourches
2404,Ytrac
2405,Carquefou
2406,Ancerville-Guë
2407,Fains-la-Folie
2408,Viviez-Decazeville
2410,Tournay
2411,Rosa Parks
2412,Longuyon
2413,Diemeringen
2414,Paris-Vaugirard
2415,St-Laurent (Jura)
2416,Morannes
2417,Bricy-Boulay
2418,Thaon
2419,Dieupentale
2420,Mionnay
2421,Baule
2422,Lumbres
2423,Angerville
2424,Sarcelles-St-Brice
2425,Autrey-lès-Gray
2426,Générac
2427,Les Houches
2428,Paris-Batignolles
2429,L'Aigle
2430,Paris-St-Lazare
2431,La Fouillouse
2432,Maison-Rouge-en-Brie
2433,Polisot
2434,St-Roch (Somme)
2435,Caudry
2436,Dombasle-sur-Meurthe
2437,Tournemire-Roquefort
2438,Aix-en-Provence-Marchandises
2439,Ligny
2440,Mazingarbe
2441,Domblans-Voiteur
2442,Leffrinckoucke
2443,Beauvoisin
2444,Berthelming
2445,Vert-Galant
2446,Givors
2447,Dijon-Ville
2448,Les Ormes-sur-Vienne
2449,Hombourg-Budange
2450,Merrey
2451,Bouzonville
2452,Cases-de-Pène
2453,Landivisiau
2454,Villers-Cotterêts
2455,Avignon-Centre
2456,Aniche
2457,Le Poirier-Université
2458,St-Quentin
2459,Clermont-Ferrand
2460,Longecourt
2461,La Norville-St-Germain-lès-Arpajon
2462,Romans-Bourg-de-Péage
2463,Solférino
2464,Walbach
2465,La Tour-du-Pin
2466,Vesoul
2467,Mantes-la-Jolie
2468,Puyoô
2469,Belvès
2470,Châtillon-sur-Seine
2471,St-Priest-Taurion
2472,Carpentras
2473,Assat
2474,St-Pierre-la-Cour
2475,St-André-de-l'Eure
2476,Chevilly
2477,Aumale
2478,Bolquère-Eyne
2479,St-Michel-sur-Orge
2480,Varennes-sur-Fouzon
2481,Meursault
2482,Clonas
