,LIBELLE
300,Bornel-Belle-Église
301,Coussac-Bonneval
302,Mer
303,Niederbronn-les-Bains
304,Sermizelles-Vézelay
305,St-Léger-sur-Dheune
306,Maule
307,Choisy-le-Roi
308,St-Étienne-de-Montluc
309,Dunkerque
310,Wizernes
311,Ambérieu
312,Beaumont-de-Lomagne
313,Pouzauges
314,Salindres
315,Rognac
316,Franois
317,Corbie
318,Nortkerque
319,Raedersheim
320,Veuxhaulles
321,Châtel-Censoir
322,Dangé
323,Obermodern
324,Les Perrières
325,Barjac
326,Givors
327,Orly-Ville
328,Milly-sur-Thérain
329,Le Cendre-Orcet
330,Pontchâteau
331,Gaillon-Aubevoye
332,Belfort
333,Ciry-le-Noble
334,La Membrolle-sur-Choisille
335,Wimille-Wimereux
336,Brunoy
337,La Taye
338,Erstein
339,Avignon-Centre
340,Sens
341,Épinay-sur-Seine TT
342,Charmes
343,Sin-le-Noble
344,Pont-de-Veyle
345,Rai-Aube
346,Tressin
347,La Borne-Blanche
348,Seltz
349,Lagny-Thorigny
350,Bourg-Madame
351,St-Pierre-lès-Elbeuf
352,Formerie
353,Héming
354,Lamagistère
355,La Roche-sur-Yon
356,Sarrebourg
357,Marseillan-Plage
358,La Faloise
359,Montbazon
360,Le Havre-Graville
361,Sérézin
362,Théoule-sur-Mer
363,Roppenheim
364,Montereau
365,Dieppe
366,Vendôme
367,Weyersheim
368,Lurbe-St-Christau
369,Tenay-Hauteville
370,Quesnoy-le-Montant
371,St-Georges-de-Luzençon
372,Laluque
373,Nuits-sous-Ravières
374,Frénouville-Cagny
375,Tincques
376,Andrésy
377,Bon-Encontre
378,Sain-Bel
379,Andelot
381,Aytré-Plage
382,Marquise-Rinxent
383,Villiers-St-Georges
384,Sommesous
385,St-Laurent-de-la-Prée
386,Cysoing
387,Rue
388,Badan
389,Versailles-Matelots
390,Parsac-Gouzon
391,Asnières-sur-Seine
392,Saléchan-Siradan
393,Herrlisheim
394,Lacourtensourt
395,Luçon
396,Issoire
397,Don-Sainghin
398,Évron
399,Château-l'Évêque
400,Nérac
401,Loriol
402,Pontoise
403,Carcassonne
404,La Ménitré
405,Courthézon
406,Chivres-en-Laonnois
407,Le Luc-et-Le Cannet
408,Jarville-la-Malgrange
409,Joué-lès-Tours
410,Vallon
411,Breitenbach
412,Galuzot
413,Ormoy-Villers
414,Bénestroff
415,Véretz-Montlouis
416,Colmar
417,Arras
418,Fauga
419,Oyonnax
420,Montataire
421,Courcay-Tauxigny
422,Avenue-du-Président-Kennedy-Radio-France
423,Salses
424,Égly
425,Oissel
426,Ronchin
427,Montières
428,La Rochelle-Ville
429,Le Creusot
430,Xertigny
431,Villefort
432,Aspres-sur-Buëch
433,St-Amarin
434,Nomain-Ouvignies
435,Damblain
436,Frépillon
437,Héricy
438,Sains-du-Nord
439,Lutzelbourg
440,Carnoules
442,Mâcon-Port-Fluvial
443,Orange
444,Lamotte-Beuvron
445,Baigts-de-Béarn
446,Albert
447,Bourges
448,Pagny-sur-Moselle
449,Solignac-Le Vigen
450,Cravant-Bazarnes
451,Nice-St-Augustin
452,Bouilly-Roncenay
453,La Bohalle
454,Frévin-Capelle
455,Valenciennes
457,Ambazac
458,Chambourg
459,Gazeran
460,Hoelschloch
461,Trois-Chênes
462,Rouxmesnil
463,Briare
464,Saubusse-les-Bains
465,Bourg-en-Bresse
466,Poix-Terron
467,Avenue-Henri-Martin
468,Échirolles
469,Longueil-Annel
470,Brimeux
471,Quéménéven
472,Pomblière-St-Marcel
473,Le Bruel
475,Athis-Mons
476,Le Bosquet
477,Montaut-Bétharram
478,Salomé
479,Rochefort
480,Dijon-Porte-d'Ouche-Perrigny
481,Harfleur
482,St-Antoine-du-Rocher
483,Paris-Bercy-Rapée
484,Cassis
485,Vauzelles
486,Ruelle
487,Mouans-Sartoux
488,Lavilletertre
489,St-Yrieix
490,Langeac
491,Bougival
492,St-Romain-de-Popey
493,Dieppe
494,Farébersviller
495,Pagny-sur-Meuse
496,Rivesaltes
497,Poix-de-Picardie
498,Gros-Noyer-St-Prix
499,Taverny
500,St-Martin-du-Touch
501,St-Médard-d'Eyrans
502,Nérac
503,Clères
504,Montoir-de-Bretagne
505,Fléré-la-Rivière
506,La Chapelle-la-Reine
507,Lantenay
508,Hachette
509,Glos-Montfort
510,St-Chamond
511,La Bleuse-Borne
512,St-Hilaire-St-Nazaire
513,Aulnoye-Aymeries
514,Fourmies
515,Pontcharra-sur-Breda-Allevard
516,Arques (Pas-de-Calais)
517,Lunel-Viel
518,Charmant
519,Penhoët
520,Lamure-sur-Azergues
521,Clamecy
522,St-Avre-la-Chambre
523,Les Trillers
524,Guignicourt
525,Felletin
526,Blanc-Misseron
527,La Motte-Ste-Rosseline
528,Nogent-l'Artaud-Charly
529,Laveline-devant-Bruyères
530,Verneuil-sur-Serre
531,Bitschwiller (Haut-Rhin)
532,Montigny-en-Ostrevent
533,Roanne
534,Lyon-Part-Dieu
535,St-Étienne-Bellevue
536,Culmont-Chalindrey
537,Parent-Coudes-Champeix
538,Wambaix
539,Garges-Sarcelles
540,Gourdon
541,Nançois-Tronville
542,Aubazine-St-Hilaire
543,Gièvres
544,Bagnols-Chadenet
545,Blaye
546,Lalande-Église
547,Genech
548,Schweighouse-sur-Moder
549,Bauvin-Provin
550,Labège-Innopole
551,Yvetot
552,Cholet
553,Marseille-Prado
554,St-Martin-le-Beau
555,Ste-Bazeille
556,Vis-à-Marles
557,Fleurieux-sur-l'Arbresle
558,Rémilly
560,St-Hilaire-au-Temple
561,St-Quentin-en-Yvelines
562,Avenue-Foch
563,Urt
564,Yutz
565,St-Claude
566,Chasseneuil-sur-Bonnieure
567,Estissac
568,Rosny-Bois-Perrier
569,Asnières-sur-Seine
570,Veigné
571,St-Leu-la-Forêt
572,Busigny
573,Nanterre-Université
574,Beaugency
575,Paris-St-Lazare
576,Esches
577,Aiguebelle
578,Plaisir-Grignon
579,St-Denis-près-Martel
580,Rungis-la-Fraternelle
581,Colmar
582,Boussens
583,Guérard-La Celle-sur-Morin
584,Bléré-la-Croix
585,Drusenheim
586,St-Symphorien-de-Marmagne
587,Mohon
588,Rethel
589,Lexos
590,Arrou
591,Ozoir-la-Ferrière
592,Boutigny
593,Cannes
594,Benfeld
595,Émerainville-Pontault-Combault
596,Marck
597,Tarascon-sur-Ariège
598,Limersheim
